"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Katoch G.; Jasrotia R.; Somvanshi A.; Lal B.; Alsayari A.; Wahab S.; Ravi K.; Ramya M.; Suman; Singh S.; Jara A.D.","Katoch, Gaurav (59069102700); Jasrotia, Rohit (57206204421); Somvanshi, Anand (57201683384); Lal, Basant (57197062952); Alsayari, Abdulrhman (57191913415); Wahab, Shadma (52464966100); Ravi, Karthikeyan (58805517200); Ramya, M. (57213073984); Suman (57221824080); Singh, Sandeep (57218133154); Jara, Allah Dekama (57208320916)","59069102700; 57206204421; 57201683384; 57197062952; 57191913415; 52464966100; 58805517200; 57213073984; 57221824080; 57218133154; 57208320916","Harnessing magnesium ferrite for sustainable Malachite Green dye degradation: insights into photocatalytic mechanisms, material design, and wastewater remediation","2026","Environmental Sciences Europe","38","1","35","","","2","10.1186/s12302-025-01298-0","https://www.scopus.com/pages/publications/105029746763?origin=resultslist","Magnesium ferrite (MgFe₂O₄) is increasingly recognised as a sustainable, visible-light-active, and magnetically recoverable photocatalyst for dye degradation. This review provides a comprehensive and critical analysis of the structural, optical, and magnetic characteristics of MgFe2O4. It further examines how synthesis routes, dopant incorporation, and nanostructural morphology influence its photocatalytic efficiency toward Malachite Green degradation. Special emphasis is placed on understanding the mechanistic aspects of photoexcitation, charge-carrier separation, defect engineering, and the generation of reactive oxygen species (ROS) that underpin its catalytic performance. The article further evaluates recyclability, long-term stability, and process scalability, integrating techno-economic and sustainability perspectives which are very crucial for the industrial implementation. Finally, the review identifies existing knowledge gaps and outlines emerging research opportunities aimed at developing an efficient, durable, and truly green MgFe₂O₄-based photocatalytic systems for the sustainable wastewater treatment applications. © The Author(s) 2026.","Band gap engineering; Magnesium ferrite (MgFe₂O₄); Magnetic recovery; Malachite Green degradation; Reactive oxygen species (ROS); Sustainable wastewater treatment; Visible-light photocatalysis","Binary alloys; Catalyst activity; Chlorite minerals; Degradation; Dyes; Energy gap; Ferrite; Magnesium; Oxygen; Photocatalytic activity; Remediation; Wastewater reclamation; Band gap engineering; Magnesium ferrite; Magnesium ferrite (mgfe₂o₄); Magnetic recovery; Malachite green; Malachite green degradation; Reactive oxygen species; Sustainable wastewater treatments; Visible-light photocatalysis; catalyst; critical analysis; dye; ferrite; magnesium; malachite; photodegradation; reactive oxygen species; sustainability; wastewater treatment; Wastewater treatment","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105029746763"
"Zhu H.; Dai M.; Wang R.; Tao J.; Wang H.; Chen Z.; Zhong Q.; Meng F.; Zhao Y.","Zhu, Hongmin (57221873009); Dai, Mingjie (60563389400); Wang, Ru (60685621800); Tao, Jin (60531318500); Wang, Han (60531214400); Chen, Zixuan (60699552800); Zhong, Qing (60699757200); Meng, Fanli (7201913245); Zhao, Yong (56122133600)","57221873009; 60563389400; 60685621800; 60531318500; 60531214400; 60699552800; 60699757200; 7201913245; 56122133600","Research progress of wearable flexible gas sensors: from gas-sensitive materials, sensing mechanisms to current research status and applications","2026","Coordination Chemistry Reviews","566","","218175","","","0","10.1016/j.ccr.2026.218175","https://www.scopus.com/pages/publications/105042349142?origin=resultslist","The rapid advancement of flexible electronics has greatly promoted the application of wearable gas sensors in fields such as environmental monitoring, healthcare, and industrial safety. However, flexible gas sensors currently face inherent trade-offs among sensitivity, selectivity, stability, power consumption, and mechanical flexibility. The transition from laboratory prototypes to practical sensing platforms still faces significant challenges. This review systematically evaluates the advantages and limitations of advanced flexible gas-sensing materials, including metal oxide semiconductors, MXenes, hydrogels, carbon-based nanomaterials, transition metal dichalcogenides, and metal-organic frameworks, as well as their corresponding sensing mechanisms. Furthermore, based on the principles of material sensitization and current research progress, this review highlights key strategies for improving sensor performance in terms of sensitivity, selectivity, stability, and flexibility, as well as optimization of device integration, and summarizes mainstream research directions in the field. It also provides an outlook on future development trends. This review integrates sensing mechanisms, material properties, performance regulation strategies, and practical application design. It aims to provide theoretical references and research insights for the large-scale deployment of flexible wearable gas sensors in real-world scenarios. © 2026","Flexible electronics; Flexible gas-sensing materials; Performance regulation strategies; Sensing mechanisms; Wearable gas sensors","","Review","Final","","Scopus","2-s2.0-105042349142"
"Mohamed N.A.; Kiong T.S.; Ismail A.F.","Mohamed, Nurul Aida (57201821340); Kiong, Tiong Sieh (57216824752); Ismail, Aznan Fazli (29067828200)","57201821340; 57216824752; 29067828200","Defect engineering via rare-earth incorporation (DE-RE) in TiO₂ photocatalysts: Wavelength-dependent energy conversion performance","2026","Coordination Chemistry Reviews","566","","218171","","","0","10.1016/j.ccr.2026.218171","https://www.scopus.com/pages/publications/105041018313?origin=resultslist","Defect engineering has emerged as an effective strategy for tailoring the physicochemical properties of nanomaterials for energy conversion applications. In TiO₂ systems, incorporation defect engineering via rare-earth (DE-RE) enables modulation of electronic structure and defect states, governing wavelength-dependent light absorption and enhancing energy conversion performance. This approach extends the optical response from the ultraviolet to the visible and near-infrared regions, leading to improved photon utilization. Moreover, the incorporation of rare-earth elements enables band structure modification, promotes absorption edge shifts toward the visible and near-infrared regions and improves charge carrier separation and transport dynamics. As a result, DE-RE TiO₂-based systems exhibit enhanced performance in photocatalytic hydrogen evolution reaction (HER) and oxygen evolution reaction (OER), photoelectrochemical (PEC) water splitting and photovoltaic devices, including dye-sensitized (DSSc), perovskite and organic solar cells (OSCs). This review highlights a broad and detailed overview of defect engineering strategies in rare-earth-modified TiO₂, encompassing both intrinsic and extrinsic defect formation, synthesis and fabrication techniques and advanced characterization approaches. Focused emphasis is placed on understanding the relationships between defect structure, electronic properties and wavelength-dependent absorption behavior. Furthermore, the role of interface engineering, band alignment and charge transfer mechanisms in optimizing device performance is critically discussed. Finally, current challenges related to defect control, scalability and long-term stability are highlighted, along with future perspectives, including AI-assisted doping design and life cycle assessment (LCA)-driven strategies to accelerate the practical implementation of DE-RE materials in next-generation energy technologies. © 2026 Elsevier B.V.","Defect engineering; Energy conversion efficiency; Rare-earth elements; Wavelength-dependent photocatalysis","","Review","Final","","Scopus","2-s2.0-105041018313"
"Mengesha W.G.; Nagessar K.","Mengesha, Wubshet Getachew (60035581600); Nagessar, Kaveer (60124982700)","60035581600; 60124982700","Synergetic properties of advanced materials for high-power and high-temperature applications","2026","Discover Nano","21","1","112","","","0","10.1186/s11671-026-04479-9","https://www.scopus.com/pages/publications/105036176344?origin=resultslist","This paper explores the advancements, applications, and challenges of advanced thermal and magnetic materials in high-power and high-temperature environments. These materials, including high-temperature superconductors, ferromagnetic materials, and magnetic alloys, are crucial for industries such as energy, aerospace, automotive, and electronics. They are crucial for managing heat, converting energy, and storing it, which boosts the efficiency and dependability of renewable energy systems, electric vehicles, and aerospace technologies. Nonetheless, they encounter major obstacles, such as material breakdown under harsh conditions, expensive production, and sustain- ability issues. The study explores essential thermal properties like heat capacity, thermal conductivity, thermal expansion, and thermal stress, highlighting the significance of ceramics, composites, metals, carbon nanotubes, and phase-change materials. It also investigates magnetic properties like permeability, coercivity, and remanence, essential for high-power applications. Emerging technologies such as nanotechnology, additive manufacturing, and machine learning offer promising solutions to overcome existing limitations. The review highlights the need for interdisciplinary research to develop sustainable and cost-effective materials capable of withstanding extreme conditions while maintaining performance. It underscores the importance of continuing research and development to address global energy and environmental challenges, paving the way for next-generation technologies. In summary, cutting-edge thermal and magnetic materials are set to transform industries, paving the way for more efficient and dependable technological advancements. © The Author(s) 2026.","Emerging technologies and materials; High-power applications; Machine learning; Magnetic materials; Sustainability; Thermal materials","Carbon nanotubes; High temperature superconductors; Magnetic levitation vehicles; Magnetite; Phase change materials; Remanence; Thermal expansion; Yarn; Emerging materials; Emerging technologies; Energy; High power; High power applications; Machine-learning; Property; Synergetic properties; Thermal; Thermal materials; High temperature applications","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105036176344"
"Jayalakshmi S.; Venkatesan R.; Surya S.; Balaramesh P.; Kim S.-C.; Saikumari N.; Vetcher A.A.","Jayalakshmi, Suseela (57210672616); Venkatesan, Raja (56379758300); Surya, Sekar (58486369200); Balaramesh, Palanivelu (56292153500); Kim, Seong-Cheol (57277834400); Saikumari, N. (57207730767); Vetcher, Alexandre A. (6603464112)","57210672616; 56379758300; 58486369200; 56292153500; 57277834400; 57207730767; 6603464112","Chelator-engineered nano-electroless copper coatings on epoxides: surface and electrochemical properties","2026","Scientific Reports","16","1","15495","","","0","10.1038/s41598-026-52242-y","https://www.scopus.com/pages/publications/105039565837?origin=resultslist","This investigation explores the electroless deposition of copper nanoparticles onto epoxy substrates using glyoxylic acid as the reducing agent. The deposition process was conducted under alkaline conditions, with the pH precisely maintained at 11.0 ± 0.25 using potassium hydroxide. Two distinct methanesulphonate bath formulations were employed with glucose and fructose as chelators to enhance complexation efficiency. Azole-based stabilizers, Aminopyrazole and Tolytriazole were introduced to fine-tune bath parameters and improve deposition control. Comprehensive characterization of the resulting copper coatings was performed using scanning electron microscope-energy dispersive X-ray analysis (SEM-EDAX), atomic force microscopy (AFM), X-ray photoelectron spectroscopy (XPS), cyclic voltammetry (CV), tafel analysis, and electrochemical impedance spectroscopy (EIS). The bath containing glucose as the chelator demonstrated superior stability and yielded high-quality, uniform copper deposits with enhanced surface and electrochemical properties. The novelty of this work is the addition of a chelating agent to the electroless copper deposition process on polymeric substrates, which offers a more sustainable and environmentally friendly method while providing better adhesion, refined grain morphology, and improved electrochemical performance when compared to traditional surface treatments. © The Author(s) 2026.","Chelator; Fructose; Glucose; Nanoparticles; Stabilizers","chelating agent; copper; copper nanoparticle; epoxide; fructose; glucose; glyoxylic acid; nanoparticle; potassium hydroxide; pyrrole; stabilizing agent; article; atomic force microscopy; complex formation; controlled study; cyclic voltammetry; energy dispersive X ray spectroscopy; impedance spectroscopy; pH; pharmaceutics; polymerization; refined grain; scanning electron microscope; X ray photoemission spectroscopy","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105039565837"
"Gao Q.; Zheng X.; Lin J.; Zhai J.; Yang F.; Chen X.; Wang M.; Yang M.; Li J.; Shi X.; Xiao Y.; Tian X.; Liu Y.","Gao, Qizhi (59503664300); Zheng, Xinlong (57345442000); Lin, Jiaxin (59504001100); Zhai, Jiadi (59771961300); Yang, Fan (60430260200); Chen, Xinjie (60362704800); Wang, Minghui (60362704900); Yang, Miaomiao (60363215700); Li, Jing (58089952500); Shi, Xiaodong (56814020100); Xiao, Yonghao (57212380497); Tian, Xinlong (52564390800); Liu, Yuhao (57203931624)","59503664300; 57345442000; 59504001100; 59771961300; 60430260200; 60362704800; 60362704900; 60363215700; 58089952500; 56814020100; 57212380497; 52564390800; 57203931624","Design Concept of Metal Sulfide Photocatalyst for Efficient Photocatalytic Hydrogen Evolution","2026","Nano-Micro Letters","18","1","266","","","7","10.1007/s40820-026-02111-0","https://www.scopus.com/pages/publications/105031605229?origin=resultslist","Highlighting the essential 3D electronic dimensionality, isotropic orbital hybridization is shown to enhance charge carrier mobility in metal sulfide (MS) photocatalysts, overcoming structural dimensionality limits. A controllable-photocorrosion approach is developed to functionally harness corrosion, in situ generating catalytically active sulfur species that boost photocatalytic hydrogen evolution and structural durability. The intrinsic sulfur-coordination directionality synthesis method suppresses MS photocorrosion, offering a scalable stability enhancement, proved for CdS and ZnCdS systems. © The Author(s) 2026.","Electronic dimensionality; Metal sulfide photocatalysts; Photocatalytic hydrogen evolution; Photocorrosion; Water splitting","Cadmium sulfide; Carrier mobility; Complexation; Coordination reactions; Corrosion; Dimensionality reduction; Hydrogen sulfide; Photocatalysts; Photocatalytic activity; Sulfur; Sulfur determination; 3-D electronics; Design concept; Electronic dimensionality; Isotropics; Metal sulfides; Metal sulphide photocatalyst; Orbital hybridization; Photocatalytic hydrogen evolution; Photocorrosion; Water splitting; II-VI semiconductors","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031605229"
"Gupta A.; Yang S.; Lee I.; Sharma S.K.; Lee Y.; Lee S.","Gupta, Anshika (59145990900); Yang, Seungmin (60699199100); Lee, Inhwa (60699391300); Sharma, Sanjeev Kumar (57211742997); Lee, Youngmin (54949277100); Lee, Sejoon (59902131700)","59145990900; 60699199100; 60699391300; 57211742997; 54949277100; 59902131700","Hollow heterostructures for regulating charge transfer in solar-driven hydrogen production","2026","Coordination Chemistry Reviews","566","","218192","","","0","10.1016/j.ccr.2026.218192","https://www.scopus.com/pages/publications/105042335612?origin=resultslist","The development of efficient photocatalysts for solar-driven hydrogen production critically depends on precise regulation of photogenerated charge carriers at semiconductor interfaces. In this context, hollow heterostructured photocatalysts (HHPs) have emerged as advanced nanoarchitectures that function as confined photoreactors for regulating interfacial charge-transfer processes. Their hollow architectures (HAs), featuring internal cavities, thin shells, and curvature-rich interfaces, promote photon confinement, shorten carrier diffusion pathways, and improve accessibility of catalytic sites, thereby strengthening interfacial electric fields, optimizing band alignment, and suppressing charge recombination. Simultaneously, Z-scheme and S-scheme heterojunctions have attracted considerable attention as effective charge-transfer configurations that maintain strong redox potential while enabling spatial separation of photogenerated carriers. Integrating these heterojunctions with HAs offers a powerful strategy to synergistically optimize light harvesting, interfacial charge separation, and surface reaction kinetics. This review provides a comprehensive overview of the roles of HAs in regulating interfacial charge-transfer pathways within Z- and S-scheme photocatalytic systems for solar-driven H2 evolution. Representative material platforms, including oxide-, chalcogenide-, and framework-derived systems, are discussed alongside advances in synthetic strategies and structural engineering. In addition, advanced spectroscopic and electrochemical characterization techniques, combined with computational studies by density functional theory, are highlighted for elucidating interfacial energetics and carrier-transfer dynamics. Finally, emerging design principles and performance metrics are outlined to guide the rational development of efficient, stable, and scalable hollow photocatalysts for solar-to-hydrogen conversion. © 2026 Elsevier B.V.","Geometry-induced charge separation; Hollow architectures; Solar-driven hydrogen production; Z-scheme and S-scheme heterojunctions","","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105042335612"
"Danewalia S.S.; Singh K.","Danewalia, Satwinder Singh (57188922295); Singh, K. (7404763251)","57188922295; 7404763251","Nanocrystalline oxide glass-ceramics: Progress, prospects and perspectives","2026","Progress in Materials Science","162","","101741","","","0","10.1016/j.pmatsci.2026.101741","https://www.scopus.com/pages/publications/105040981314?origin=resultslist","Nanocrystalline glass-ceramics are a class of unique materials that combine the disordered nature of a glass network with the functional versatility of embedded nanocrystals. The ability to control the volume fraction of crystalline phases relative to the amorphous matrix enables precise tailoring of physical, chemical, and functional properties. This tunability makes these materials suitable for applications in photonics, biomedicine, catalysis, and energy storage and conversion. This review provides a comprehensive overview of nanocrystalline glass-ceramics. It encompasses their preparation and processing methods, structure–property relationships, and diverse applications. In addition to critically analyzing experimental trends, the review integrates mechanistic illustrations. These illustrations elucidate the underlying phenomena governing property evolution, such as crystallization behavior and interfacial effects. Moreover, the advancements in tuning mechanical, optical, magnetic, and bioactive properties via controlled crystallization and composition optimization are also discussed in length. The challenges that persist in the precise growth of nanostructured phases, property estimation, and scalable production are also summarized. Finally, the article outlines emerging research trends and perspectives. It emphasizes the role of data-driven design, physics-informed machine learning, and novel processing strategies in advancing the field toward next-generation multifunctional nanocrystalline glass-ceramics with highly promising and emerging applications. © 2026 Elsevier Ltd","Crystallization methods; Machine learning; Nanocrystalline Glass-Ceramics; Nucleation and growth; Property prediction; Structure-properties relationship","Crystallization; Digital storage; Glass ceramics; Learning systems; Machine learning; Nanocrystalline materials; Optimization; Crystallization method; Glass-ceramics; Machine-learning; Nanocrystalline glass; Nanocrystalline glass-ceramic; Nanocrystalline oxides; Nucleation and growth; Oxide glass; Property predictions; Structure-properties relationships; Nanocrystals","Review","Final","","Scopus","2-s2.0-105040981314"
"Zhang H.; Huang Z.; Chen C.; Long Y.; Xu W.; Zhou Z.; Wan J.","Zhang, Hanyuan (57222995095); Huang, Zhenhui (58910511200); Chen, Changyuan (58955529900); Long, Yi (25825186300); Xu, Weilin (57204112002); Zhou, Zhengui (57216734252); Wan, Jun (56625474800)","57222995095; 58910511200; 58955529900; 25825186300; 57204112002; 57216734252; 56625474800","Mid-Infrared Transparent Materials: from Mechanisms to Cutting-Edge Applications","2026","Nano-Micro Letters","18","1","260","","","3","10.1007/s40820-026-02113-y","https://www.scopus.com/pages/publications/105031482241?origin=resultslist","Establishes a structure–property–function paradigm linking band structure, phonons, and architecture to mid-infrared (MIR) transmittance. Provides a rigorous taxonomy spanning intrinsic and engineered materials with clarified transparency mechanisms. Derives design rules enabling low-loss MIR transport for advanced thermal and photonic systems. © The Author(s) 2026.","Imaging and sensing; Laser systems; Mid-infrared transparent materials; Optical applications; Thermal management","Clarification; Infrared devices; Laser optics; Photonics; Cutting edges; Imaging and sensing; Infrared transmittance; Infrared-transparent materials; Laser systems; Mid-infrared transparent material; Midinfrared; Optical applications; Structure property; Thermal; Temperature control","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031482241"
"Zhang Y.; Fan Z.-Y.; Huo Q.-Y.; Yin R.-B.; Wei Y.-F.; Gao H.-L.","Zhang, Yong (55739757300); Fan, Ze-yu (59732917600); Huo, Qing-yuan (55263457800); Yin, Rong-bi (59239835900); Wei, Yu-fei (59240098100); Gao, Hai-li (55311526500)","55739757300; 59732917600; 55263457800; 59239835900; 59240098100; 55311526500","MnCo2O4-based materials for supercapacitors: A full-chain analysis from synthesis to device integration","2026","Coordination Chemistry Reviews","566","","218158","","","0","10.1016/j.ccr.2026.218158","https://www.scopus.com/pages/publications/105041007160?origin=resultslist","Supercapacitors (SCs) occupy an irreplaceable niche in high-power, pulse-energy storage thanks to their exceptional power density, ultrafast charge-discharge capability and ultra-long cycle life. Yet their insufficient energy density remains the critical bottleneck hindering large-scale deployment. Spinel-type binary transition-metal oxide MnCo2O4, endowed with a high theoretical specific capacitance, abundant redox activity, tunable morphology and environmental benignity, has emerged as a focal electrode material for SCs. Adopting a full-chain “synthesis–structure–performance–device” perspective, this review systematically summarizes the progress on MnCo2O4 and its composites. By comparing hydrothermal, solvothermal and chemical co-precipitation routes, we dissect how processing parameters steer micro-morphology and electrochemical behavior. We elucidate how diverse architectures—1D nanorods/wires, 2D nanosheets, 3D flower/urchin-like morphologies, as well as core-shell, hollow-sphere and heterostructures—govern charge-storage mechanisms. Composite strategies involving carbon scaffolds, metal oxides/hydroxides/sulfides, conductive polymers and MXene are detailed, together with their synergistic enhancement principles. Furthermore, we evaluate the practical performance of MnCo2O4-based electrodes in asymmetric, all-solid-state and flexible SCs, address key device-integration technologies and failure-mitigation tactics, and chart future directions spanning elemental doping, interfacial engineering, electroly optimization and device-level integration. This work aims to deliver comprehensive theoretical foundations and practical guidelines for constructing high-performance MnCo2O4-based energy-storage systems. © 2026 Elsevier B.V.","Device integration; Energy-storage system; MnCo<sub>2</sub>O<sub>4</sub>; Supercapacitor; Synthesis strategy","","Review","Final","","Scopus","2-s2.0-105041007160"
